CMDLINE /usr/bin/python3 launcher.py
MEM 1.542969 1555053943.5491
MEM 37.109375 1555053943.6660
MEM 49.464844 1555053943.7868
MEM 59.886719 1555053943.9011
MEM 80.726562 1555053944.0153
MEM 85.785156 1555053944.1294
MEM 101.210938 1555053944.2436
MEM 108.437500 1555053944.3579
MEM 128.546875 1555053944.4720
MEM 136.281250 1555053944.5885
MEM 136.281250 1555053944.7050
MEM 142.210938 1555053944.8186
MEM 165.722656 1555053944.9325
MEM 189.183594 1555053945.0462
MEM 215.738281 1555053945.1600
MEM 138.531250 1555053945.2742
MEM 167.402344 1555053945.3880
MEM 188.542969 1555053945.5018
MEM 208.910156 1555053945.6155
MEM 230.308594 1555053945.7292
MEM 251.707031 1555053945.8429
MEM 345.035156 1555053945.9569
MEM 273.136719 1555053946.0711
MEM 147.292969 1555053946.1884
MEM 147.292969 1555053946.3044
MEM 154.511719 1555053946.4183
MEM 178.746094 1555053946.5321
MEM 198.597656 1555053946.6464
MEM 147.421875 1555053946.7602
MEM 151.027344 1555053946.8737
MEM 151.027344 1555053946.9895
MEM 151.027344 1555053947.1070
MEM 151.027344 1555053947.2253
MEM 151.027344 1555053947.3442
MEM 175.519531 1555053947.4628
MEM 198.207031 1555053947.5816
MEM 211.132812 1555053947.7019
MEM 151.144531 1555053947.8216
MEM 151.144531 1555053947.9404
MEM 151.914062 1555053948.0588
MEM 151.914062 1555053948.1774
MEM 158.101562 1555053948.2960
MEM 158.101562 1555053948.4147
MEM 158.101562 1555053948.5293
MEM 186.976562 1555053948.6432
MEM 140.945312 1555053948.7574
MEM 160.277344 1555053948.8738
MEM 178.324219 1555053948.9882
MEM 201.785156 1555053949.1038
MEM 224.730469 1555053949.2178
MEM 161.824219 1555053949.3323
MEM 161.824219 1555053949.4466
MEM 161.824219 1555053949.5603
MEM 161.824219 1555053949.6747
MEM 182.445312 1555053949.7884
MEM 203.585938 1555053949.9022
MEM 225.500000 1555053950.0159
MEM 245.867188 1555053950.1297
MEM 268.296875 1555053950.2462
MEM 279.429688 1555053950.3645
MEM 161.835938 1555053950.4831
MEM 161.835938 1555053950.6031
MEM 161.835938 1555053950.7183
MEM 161.835938 1555053950.8324
MEM 172.660156 1555053950.9466
MEM 172.660156 1555053951.0607
MEM 172.660156 1555053951.1750
MEM 172.660156 1555053951.2892
MEM 172.914062 1555053951.4036
MEM 172.914062 1555053951.5206
MEM 173.207031 1555053951.6355
MEM 173.460938 1555053951.7504
MEM 173.718750 1555053951.8639
MEM 173.976562 1555053951.9796
MEM 173.976562 1555053952.0965
MEM 173.976562 1555053952.2136
MEM 173.976562 1555053952.3272
MEM 173.976562 1555053952.4411
MEM 173.976562 1555053952.5556
MEM 173.976562 1555053952.6695
MEM 173.976562 1555053952.7835
MEM 173.976562 1555053952.8972
MEM 173.976562 1555053953.0111
MEM 173.976562 1555053953.1246
MEM 174.667969 1555053953.2385
MEM 176.730469 1555053953.3522
MEM 198.128906 1555053953.4661
MEM 215.144531 1555053953.5796
MEM 238.089844 1555053953.6937
MEM 142.437500 1555053953.8076
MEM 154.035156 1555053953.9214
MEM 158.675781 1555053954.0354
MEM 172.855469 1555053954.1495
MEM 191.417969 1555053954.2635
MEM 208.433594 1555053954.3777
MEM 228.800781 1555053954.4924
MEM 246.589844 1555053954.6124
MEM 265.410156 1555053954.7283
MEM 287.324219 1555053954.8423
MEM 323.160156 1555053954.9565
MEM 330.894531 1555053955.0711
MEM 147.074219 1555053955.1853
MEM 166.667969 1555053955.2995
MEM 169.246094 1555053955.4137
MEM 169.246094 1555053955.5277
MEM 169.246094 1555053955.6424
MEM 169.246094 1555053955.7563
MEM 169.246094 1555053955.8699
MEM 169.761719 1555053955.9836
MEM 189.097656 1555053956.0992
MEM 206.371094 1555053956.2161
